Energy,Mass_Stopping_Power,Stopping_Power,Distance_Travelled,Cumulative_Distance,Filtered_Stopping_Power
0.001,325.4,341.67,1.463400357069687e-06,1.463400357069687e-06,325.4
0.0015,330.6,347.13000000000005,1.4403825656094258e-06,2.9037829226791126e-06,330.6
0.002,335.6,352.38000000000005,1.4189227538452806e-06,4.322705676524393e-06,335.6
0.0025,341.0,358.05,1.3964530093562352e-06,5.719158685880628e-06,341.0
0.003,346.9,364.245,2.7454048785844694e-06,8.464563564465098e-06,346.9
0.004,359.5,377.475,2.6491820650374194e-06,1.1113745629502518e-05,359.5
0.005,372.8,391.44000000000005,2.554669936644185e-06,1.3668415566146702e-05,372.8
0.006,386.4,405.71999999999997,2.464754017549049e-06,1.6133169583695752e-05,386.4
0.007,400.1,420.105,2.3803572916294737e-06,1.8513526875325223e-05,400.1
0.008,413.8,434.49,2.301548942438259e-06,2.0815075817763485e-05,413.8
0.009,427.3,448.665,2.2288344310342924e-06,2.3043910248797773e-05,427.3
0.01,440.7,462.735,5.402660269916908e-06,2.8446570518714687e-05,440.7
0.0125,473.3,496.96500000000003,5.030535349571899e-06,3.347710586828659e-05,473.3
0.015,504.6,529.83,4.718494611479158e-06,3.819560047976575e-05,504.6
0.0175,534.6,561.33,4.453708157411859e-06,4.264930863717761e-05,534.6
0.02,563.5,591.6750000000001,4.225292601512652e-06,4.687460123869025e-05,563.5
0.0225,591.3,620.865,4.026640251906618e-06,5.0901241490596874e-05,591.3
0.025,618.1,649.005,3.852050446452645e-06,5.475329193704952e-05,618.1
0.0275,644.0,676.2,3.6971310263235706e-06,5.84504229633731e-05,644.0
0.03,669.1,702.5550000000001,7.116880528926567e-06,6.556730349229966e-05,669.1
0.035,717.1,752.955,6.640503084513679e-06,7.220780657681332e-05,717.1
0.04,762.4,800.52,6.245940138909706e-06,7.845374671572304e-05,762.4
0.045,805.5,845.7750000000001,5.911737755313179e-06,8.436548447103621e-05,805.5
0.05,846.6,888.9300000000001,5.6247398557816665e-06,8.999022432681789e-05,846.6
0.055,886.0,930.3000000000001,5.3746103407502925e-06,9.536483466756817e-05,886.0
0.06,923.8,969.99,5.154692316415638e-06,0.00010051952698398383,923.8
0.065,960.1,1008.105,4.959800814399298e-06,0.00010547932779838311,960.1
0.07,995.2,1044.96,4.784872148216191e-06,0.00011026419994659929,995.2
0.075,1029.0,1080.45,4.62770142070434e-06,0.00011489190136730363,1029.0
0.08,1062.0,1115.1000000000001,4.483902788987538e-06,0.00011937580415629117,1062.0
0.085,1094.0,1148.7,4.352746583093924e-06,0.00012372855073938506,1094.0
0.09,1124.0,1180.2,4.2365700728690085e-06,0.0001279651208122541,1124.0
0.095,1154.0,1211.7,4.1264339357926915e-06,0.0001320915547480468,1154.0
0.1,1183.0,1242.15,2.0126393752767374e-05,0.00015221794850081414,1183.0
0.125,1317.0,1382.8500000000001,1.80786057779224e-05,0.00017029655427873655,1317.0
0.15,1436.0,1507.8,1.6580448335322982e-05,0.00018687700261405953,1436.0
0.175,1542.0,1619.1000000000001,1.5440676919276154e-05,0.0002023176795333357,1542.0
0.2,1637.0,1718.8500000000001,1.4544608313698108e-05,0.0002168622878470338,1637.0
0.225,1722.0,1808.1000000000001,1.3826668878933684e-05,0.00023068895672596746,1722.0
0.25,1799.0,1888.95,1.3234865930808133e-05,0.00024392382265677563,1799.0
0.275,1868.0,1961.4,1.2745997756704378e-05,0.00025666982041348005,1868.0
0.3,1930.0,2026.5,2.4673081667900316e-05,0.00028134290208138037,1930.0
0.35,2036.0,2137.8,2.3388530264758183e-05,0.0003047314323461385,2036.0
0.4,2119.0,2224.9500000000003,2.2472415110451913e-05,0.0003272038474565904,2119.0
0.45,2184.0,2293.2000000000003,2.1803593232164653e-05,0.00034900744068875505,2184.0
0.5,2233.0,2344.65,2.1325144477853855e-05,0.0003703325851666089,2233.0
0.55,2267.0,2380.35,2.100531434452914e-05,0.00039133789951113806,2267.0
0.6,2290.0,2404.5,2.079434393844876e-05,0.00041213224344958683,2290.0
0.65,2303.0,2418.15,2.0676963794636368e-05,0.00043280920724422323,2303.0
0.7,2308.0,2423.4,2.0632169678963458e-05,0.00045344137692318663,2308.0
0.75,2305.0,2420.25,2.0659022828220244e-05,0.0004741003997514069,2305.0
0.8,2297.0,2411.85,2.073097414847521e-05,0.0004948313738998821,2297.0
0.85,2283.0,2397.15,2.0858102329850047e-05,0.0005156894762297322,2283.0
0.9,2265.0,2378.25,2.1023862083464705e-05,0.0005367133383131969,2265.0
0.95,2245.0,2357.25,2.1211157068618112e-05,0.000557924495381815,2245.0
1.0,2221.0,2332.05,0.0001072018181428357,0.0006651263135246507,2221.0
1.25,2061.0,2164.05,0.00011552413299138189,0.0007806504465160326,2061.0
1.5,1890.0,1984.5,0.00012597631645250694,0.0009066267629685395,1890.0
1.75,1737.0,1823.8500000000001,0.00013707267593277955,0.001043699438901319,1737.0
2.0,1605.0,1685.25,0.0001483459427384661,0.0011920453816397854,1605.0
