Energy,Mass_Stopping_Power,Stopping_Power,Distance_Travelled,Cumulative_Distance,Filtered_Stopping_Power
0.001,214.7,253.34599999999998,1.9735855312497533e-06,2.9688297915336683,214.7
0.0015,246.3,290.634,1.720376831341137e-06,2.968827817948137,246.3
0.002,274.6,324.028,1.5430765242509905e-06,2.9688260975713057,274.6
0.0025,300.4,354.472,1.410548647001738e-06,2.9688245544947813,300.4
0.003,324.2,382.556,2.6139963822290073e-06,2.968823143946134,324.2
0.004,363.5,428.92999999999995,2.331382743104936e-06,2.968820529949752,363.5
0.005,399.4,471.292,2.1218268080086232e-06,2.968818198567009,399.4
0.006,432.2,509.996,1.9607996925466082e-06,2.9688160767402008,432.2
0.007,462.4,545.632,1.8327370828690402e-06,2.9688141159405084,462.4
0.008,489.9,578.082,1.7298583937918827e-06,2.9688122832034254,489.9
0.009,515.3,608.0539999999999,1.644590776477091e-06,2.9688105533450315,515.3
0.01,539.1,636.138,3.929964881833816e-06,2.968808908754255,539.1
0.0125,587.0,692.66,3.609274391476336e-06,2.968804978789373,587.0
0.015,627.7,740.686,3.3752494309329486e-06,2.9688013695149817,627.7
0.0175,663.2,782.576,3.194577906810327e-06,2.9687979942655507,663.2
0.02,694.8,819.8639999999999,3.0492862230809e-06,2.968794799687644,694.8
0.0225,722.9,853.0219999999999,2.9307567682896834e-06,2.968791750401421,722.9
0.025,747.9,882.5219999999999,2.8327905706599938e-06,2.9687888196446526,747.9
0.0275,770.0,908.5999999999999,2.751485802333259e-06,2.968785986854082,770.0
0.03,789.8,931.9639999999999,5.365014099257058e-06,2.9687832353682797,789.8
0.035,824.4,972.7919999999999,5.139844900040294e-06,2.9687778703541805,824.4
0.04,853.7,1007.366,4.963439306071475e-06,2.9687727305092806,853.7
0.045,877.9,1035.922,4.826618220290721e-06,2.9687677670699744,877.9
0.05,897.2,1058.696,4.722791056167207e-06,2.968762940451754,897.2
0.055,911.8,1075.924,4.647168387358213e-06,2.968758217660698,911.8
0.06,922.4,1088.432,4.59376424066915e-06,2.9687535704923107,922.4
0.065,929.6,1096.9279999999999,4.5581843110942606e-06,2.96874897672807,929.6
0.07,934.0,1102.12,4.536711065945624e-06,2.9687444185437593,934.0
0.075,935.8,1104.244,4.5279847569921185e-06,2.9687398818326933,935.8
0.08,935.5,1103.8899999999999,4.52943680982707e-06,2.9687353538479364,935.5
0.085,933.4,1101.4119999999998,4.53962731475596e-06,2.968730824411127,933.4
0.09,929.6,1096.9279999999999,4.5581843110942606e-06,2.968726284783812,929.6
0.095,924.5,1090.9099999999999,4.583329513892076e-06,2.968721726599501,924.5
0.1,918.3,1083.5939999999998,2.307137174993586e-05,2.9687171432699873,918.3
0.125,875.7,1033.326,2.419372008446511e-05,2.9686940718982373,875.7
0.15,824.3,972.6739999999999,2.5702342203040277e-05,2.9686698781781526,824.3
0.175,772.3,911.3139999999999,2.7432915548318173e-05,2.9686441758359496,772.3
0.2,723.2,853.376,2.9295410229488518e-05,2.968616742920401,723.2
0.225,676.9,798.742,3.129921802033697e-05,2.9685874475101715,676.9
0.25,634.6,748.828,3.338550374718897e-05,2.968556148292151,634.6
0.275,596.9,704.342,3.549412075383829e-05,2.9685227627884037,596.9
0.3,563.4,664.8119999999999,7.520923208365673e-05,2.96848726866765,563.4
0.35,507.7,599.0859999999999,8.346047145151123e-05,2.9684120594355665,507.7
0.4,463.9,547.4019999999999,9.134055045469325e-05,2.968328598964115,463.9
0.45,428.9,506.1019999999999,9.879431418962975e-05,2.96823725841366,428.9
0.5,400.6,472.708,0.00010577354307521778,2.9681384640994706,400.6
0.55,377.0,444.85999999999996,0.00011239491075844072,2.968032690556395,377.0
0.6,356.4,420.55199999999996,0.00011889136182921505,2.9679202956456368,356.4
0.65,338.3,399.194,0.00012525238355285884,2.9678014042838075,338.3
0.7,322.2,380.19599999999997,0.00013151111531946693,2.9676761519002546,322.2
0.75,307.8,363.204,0.00013766368211803846,2.967544640784935,307.8
0.8,294.8,347.864,0.00014373433295770743,2.967406977102817,294.8
0.85,283.0,333.94,0.00014972749595735775,2.9672632427698593,283.0
0.9,272.2,321.19599999999997,0.00015566819013935397,2.967113515273902,272.2
0.95,262.3,309.514,0.00016154358122734365,2.9669578470837625,262.3
1.0,253.2,298.77599999999995,0.0008367472621629583,2.966796303502535,253.2
1.25,216.8,255.824,0.0009772343486146725,2.965959556240372,216.8
1.5,190.5,224.79,0.001112149116953601,2.9649823218917577,190.5
1.75,170.5,201.19,0.001242606491376311,2.9638701727748042,170.5
2.0,154.6,182.428,0.0013704036661038876,2.962627566283428,154.6
2.25,141.8,167.324,0.0014941072410413329,2.9612571626173243,141.8
2.5,131.1,154.69799999999998,0.0016160519205161027,2.959763055376283,131.1
2.75,122.1,144.07799999999997,0.0017351712266966508,2.9581470034557666,122.1
3.0,114.3,134.874,0.0037071637231786705,2.95641183222907,114.3
